Incident Category,Incident Day of Week,Incident Year,Analysis Neighborhood,Longitude,Latitude,Report Type Description
Assault,Thursday,2018,South of Market,-122.4061629,37.77894276,Initial
Robbery,Saturday,2018,Tenderloin,-122.4134874,37.77999174,Initial
Fraud,Friday,2018,Tenderloin,-122.416983,37.78242042,Initial
Fraud,Sunday,2018,Chinatown,-122.4066679,37.79786461,Coplogic Initial
Fraud,Monday,2018,Financial District/South Beach,-122.3928416,37.7824571,Initial Supplement
Assault,Saturday,2018,Tenderloin,-122.4099305,37.78742933,Initial
Assault,Wednesday,2018,Mission,-122.4196718,37.7723032,Initial
Assault,Saturday,2018,Financial District/South Beach,-122.4027082,37.78325924,Initial
Stolen Property,Wednesday,2018,Sunset/Parkside,-122.5083314,37.76407602,Initial
Assault,Monday,2018,West of Twin Peaks,-122.4551357,37.72367236,Initial
Fraud,Sunday,2018,Noe Valley,-122.4365998,37.7543587,Initial
Robbery,Thursday,2018,Outer Mission,-122.4371618,37.72347949,Initial
Fraud,Saturday,2018,Inner Sunset,-122.469131,37.75830399,Initial
Robbery,Saturday,2018,Tenderloin,-122.4140538,37.78279445,Initial
Assault,Saturday,2018,Bernal Heights,-122.4240401,37.73740625,Initial
Robbery,Wednesday,2018,Russian Hill,-122.4230488,37.793935,Initial
Robbery,Saturday,2018,Mission,-122.4185939,37.75383659,Initial
Assault,Monday,2018,Financial District/South Beach,-122.3940596,37.79253722,Initial
Robbery,Monday,2018,Mission,-122.4164135,37.75396777,Initial
Assault,Friday,2018,Excelsior,-122.4410196,37.71645954,Initial
Assault,Thursday,2018,Bayview Hunters Point,-122.3910875,37.73690675,Initial
Fraud,Friday,2018,Financial District/South Beach,-122.3999462,37.78882111,Initial
Robbery,Saturday,2018,Potrero Hill,-122.3988304,37.75204365,Initial
Robbery,Tuesday,2018,Visitacion Valley,-122.4020979,37.71299484,Initial
Assault,Wednesday,2018,Tenderloin,-122.4131614,37.78672974,Initial
Fraud,Monday,2018,Financial District/South Beach,-122.3947476,37.79447972,Initial Supplement
Assault,Tuesday,2018,Oceanview/Merced/Ingleside,-122.4581893,37.72365751,Initial
Robbery,Sunday,2018,Glen Park,-122.4376829,37.74360858,Initial
Robbery,Wednesday,2018,Visitacion Valley,-122.4059806,37.70909807,Initial
Assault,Sunday,2018,Western Addition,-122.4370719,37.77986739,Initial
Robbery,Tuesday,2018,Pacific Heighs,-122.4272604,37.78974286,Initial
Fraud,Monday,2018,South of Market,-122.4121701,37.77419965,Initial
Robbery,Saturday,2018,South of Market,-122.4072547,37.78211942,Initial
Robbery,Thursday,2018,Visitacion Valley,-122.4125046,37.71272485,Initial
Assault,Monday,2018,Mission,-122.4220438,37.76653958,Initial
Fraud,Monday,2018,Financial District/South Beach,-122.3993695,37.78589925,Initial
Assault,Monday,2018,Inner Richmond,-122.4666944,37.78471552,Initial
Assault,Thursday,2018,Tenderloin,-122.4084932,37.78445273,Initial Supplement
Fraud,Tuesday,2018,Outer Richmond,-122.4986646,37.77945547,Initial
Assault,Saturday,2018,Tenderloin,-122.4160717,37.78444884,Initial
Robbery,Monday,2018,Castro/Upper Market,-122.4259203,37.75982961,Initial
Assault,Monday,2018,Mission,-122.4214557,37.76575149,Initial
Assault,Monday,2018,Oceanview/Merced/Ingleside,-122.4560614,37.71407676,Initial
Robbery,Sunday,2018,Pacific Heighs,-122.44025,37.78711246,Initial
Robbery,Friday,2018,Bayview Hunters Point,-122.3838033,37.73243402,Initial
Stolen Property,Friday,2018,Tenderloin,-122.4194545,37.78450084,Initial
Fraud,Wednesday,2018,South of Market,-122.3949815,37.77708933,Initial
Assault,Friday,2018,Lakeshore,-122.4789856,37.72088443,Initial
Stolen Property,Friday,2018,Nob Hill,-122.418465,37.78796628,Vehicle Supplement
Fraud,Tuesday,2018,South of Market,-122.4036355,37.77516081,Initial Supplement
Robbery,Monday,2018,Tenderloin,-122.4086671,37.78538825,Initial
Fraud,Monday,2018,Tenderloin,-122.4142416,37.78372378,Initial
Fraud,Saturday,2018,Presidio Heights,-122.45207,37.7858717,Initial
Fraud,Tuesday,2018,Sunset/Parkside,-122.5011179,37.75315365,Initial
Assault,Thursday,2018,Inner Richmond,-122.469627,37.78076874,Initial
Robbery,Saturday,2018,Treasure Island,-122.3712459,37.8178239,Initial
Fraud,Tuesday,2018,Financial District/South Beach,-122.3963904,37.79366378,Initial
Fraud,Thursday,2018,Potrero Hill,-122.3914175,37.76036149,Coplogic Initial
Assault,Sunday,2018,Mission,-122.4182879,37.75063965,Initial
Assault,Friday,2018,Mission,-122.419669,37.76505134,Initial
Fraud,Friday,2018,Bayview Hunters Point,-122.402825,37.73589125,Coplogic Initial
Robbery,Tuesday,2018,Portola,-122.4026048,37.72257407,Initial
Fraud,Tuesday,2018,Tenderloin,-122.4187089,37.78077316,Coplogic Initial
Fraud,Wednesday,2018,Nob Hill,-122.4134129,37.78795808,Initial
Robbery,Friday,2018,Tenderloin,-122.4164491,37.78631022,Initial
Assault,Friday,2018,Pacific Heighs,-122.4342032,37.79071117,Initial
